gram_size,복합명사,빈도
2,장면_연출,116
2,예술_생태,116
2,장애_예술,116
2,예술_진흥,115
2,러시아_발레,115
2,세계_나라,115
3,문예_진흥_기금,114
2,마리우스_프티파,114
3,한국_발레_협회,114
2,탈춤_전승,114
2,원로_무용가,114
2,레퍼토리_개발,114
2,공연_횟수,114
2,문화_산업,114
2,페스티벌_초청,114
2,영상_기록,114
2,독립_안무가,114
2,예술_창작산실,114
3,공연_예술_창작산실,113
2,영상_자료,113
2,예술인_창작,113
2,인간_모습,113
2,민족_무용,113
3,예술_지원_시스템,112
3,문화_예술_분야,112
3,현대_무용단_예술,112
3,한국_창작_무용,112
2,접수_방법,112
2,문화_향유,112
2,축제_참가,112
3,뉴욕_시티_발레단,111
2,풍류_사랑방,111
2,저작_침해,111
3,예술_창작_활동,111
2,국내_최초,111
2,예술_향유,111
2,박사_학위,110
2,현지_취재,110
2,음성_해설,110
2,민주_운동,110
2,세종문화회관_씨어터,110
2,서류_심사,110
2,홈페이지_확인,110
2,교육_혁신,110
2,작품_구상,110
2,단체_개인,110
2,다양_방식,110
4,문화_예술_지원_시스템,109
3,지원_사업_공고,109
2,평일_주말,109
2,동작_반복,109
2,불교_무용,109
3,창작_활동_지원,108
2,협회_회장,108
2,축제_사무국,108
2,조사_결과,108
2,춤_전용,108
2,고전_무용,108
2,완성도_작품,108
2,대중_문화,108
3,댄스_미디어_연구소,107
2,특설_무대,107
2,레퍼토리_시즌,107
2,시즌_프로그램,107
2,지원_센터,107
2,자연_인간,107
2,예술_청,107
2,정부_문화,107
2,창작_환경,107
2,관객_개발,107
2,관객_눈,107
2,사업_참여,107
4,현대_무용단_예술_감독,106
2,지원_신청서,106
2,적극_활용,106
2,유명_안무가,106
2,세계_초연,106
3,업무_협약_체결,105
3,대한_무용_협회,105
3,국립_국악원_무용단,105
3,국제_무용_협회,105
3,춤_연기_상,105
2,한영숙_선생,105
2,신인_안무가,105
2,발레단_창단,105
2,극장_주최,105
3,제주_국제_무용제,104
3,국가_문화_예술,104
2,미투_운동,104
2,초등학생_이상,104
2,코로나_확산,104
2,코로나_상황,104
3,한국_춤_예술,104
2,장면_구성,104
2,작품_감상,104
2,고용_보험,103
2,분야_전문가,103
2,운영_위원회,103
2,콘텐츠_제작,103
2,세종문화회관_극장,103
2,아티스트_참여,103
3,한국_공연_예술,103
2,축제_기간,103
2,극장_초연,103
2,한국_민족,103
2,극장_운영,103
4,문화_체육_관광부_장관,102
3,한국_무용_전공,102
3,국립발레단_예술_감독,102
2,요코하마_댄스,102
2,아트_센터,102
2,창작산실_사업,102
2,공동_대표,102
2,구성_요소,102
2,정부_지원,102
2,교류_프로그램,102
2,댄서_움직임,102
2,지역_대표,102
3,문화_비축_기지,101
3,무용_전용_극장,101
2,문훈숙_단장,101
2,팔_다리,101
2,국립발레단_수석,101
2,무용단_단장,101
2,전통_기반,101
2,대면_공연,101
2,기획_프로그램,101
2,프로그램_참여,101
3,무용_교사_자격증,100
2,한국인_무용수,100
2,관객_공감,100
2,음악_연주,100
4,국가_문화_예술_지원,99
2,마기_마랭,99
3,시립_무용단_정기,99
2,트리플_빌,99
3,무용_교육_혁신,99
2,매스_게임,99
2,컨택_즉흥,99
3,한국_춤_협회,99
2,질문_답,99
3,한국_전통_무용,99
2,최종_선정,99
2,사회_거리,99
2,종합_예술,99
2,객석_관객,99
4,시립_무용단_정기_공연,98
2,마이 라이프_무브먼트,98
2,건강_보험,98
2,평자_관람,98
2,창작산실_신작,98
2,발레단_입단,98
2,여자_남자,98
2,반주_음악,98
2,중견_안무가,98
2,페스티벌_참가,98
2,시대_흐름,98
2,활성_지원,98
2,지원_기관,98
2,축하_공연,98
2,다양_시도,98
2,작품_질,98
2,안무가_신작,98
5,국가_문화_예술_지원_시스템,97
3,요코하마_댄스_컬렉션,97
4,국립_현대_무용단_예술,97
2,러닝_타임,97
2,방향_제시,97
2,조명_아래,97
2,접근_방식,97
2,코로나_시대,97
2,음악_연극,97
2,춤_보존회,97
4,창무_국제_공연_예술제,96
3,국립발레단_수석_무용수,96
2,오하드_나하린,96
3,국제_댄스_페스티벌,96
3,공공_무용단_예술,96
2,박용구_선생,96
2,LG아트센터_서울,96
2,차세대_안무가,96
2,상임_안무가,96
2,일반_대중,96
2,무용_음성,96
2,창작_활성,96
2,심사_과정,96
2,보험_가입,95
2,국립국악원_원장,95
2,세종문화회관_사장,95
2,상_베스트,95
2,원로_예술인,95
2,수_목,95
2,신진_예술가,95
2,연극_뮤지컬,95
2,몸_감각,95
3,장소_특정_공연,94
2,아르코_대학로 예술극장,94
2,티켓_판매,94
2,공연장_상주,94
2,향유_기회,94
2,오후_토,94
3,현대_무용_작품,94
2,경험_바탕,94
2,하늘_극장,94
2,예술_검열,94
2,안무가_발굴,94
2,축제_초청,94
2,주목_안무가,94
5,국립_현대_무용단_예술_감독,93
3,대학로_극장_쿼드,93
2,대한민국_예술원,93
2,신청_자격,93
2,네덜란드_국립발레단,93
2,극장_달오름극장,93
2,교류_해,93
2,작곡_음악,93
2,시작_끝,93
2,지원_규모,93
2,안무_경연,93
2,무당_춤,93
3,국립_극장_달오름극장,92
3,문화_예술_기관,92
2,참가자_모집,92
2,혁신_위원회,92
2,강동아트센터_극장,92
2,기회_확대,92
2,포스트_극장,92
2,프로젝트_그룹,92
2,신청_방법,92
2,우수_상,92
2,비평_시각,92
2,폐막_공연,92
2,단체_공모,92
2,공공_지원,92
3,국립_예술_단체,91
2,방안_모색,91
2,전문_인력,91
2,왕성_활동,91
2,세계_각국,91
2,대구_지역,91
2,교육_기관,91
2,무용_발표회,91
2,장애인_문화,91
2,프로그램_기획,91
4,무용_교육_혁신_위원회,90
3,서강대_메리_홀,90
3,교육_혁신_위원회,90
2,서강대_메리,90
2,마로니에_공원,90
2,무브먼트_씨어터,90
2,티켓_링크,90
2,조직_위원장,90
2,화_수,90
2,의상_디자이너,90
2,환경_조성,90
2,장소_특정,90
2,마당_굿,90
2,목_오후,90
2,서_발레단,90
2,발레_마스터,90
3,현대_무용_공연,90
2,라이브_음악,90
2,중요_요소,90
2,죽음_삶,90
2,문화_콘텐츠,90
2,전문_무용단,90
2,한국_민속,90
2,영감_작품,90
4,문화_체육_관광부_한국문화예술위원회,89
3,마이 라이프_무브먼트_씨어터,89
3,체육_관광부_한국문화예술위원회,89
3,현대_무용_전공,89
2,산업_혁명,89
2,문화_체육_관광부_한국문화예술위원회,89
2,툇마루_무용단,89
2,전속_단체,89
2,상_시상식,89
2,중견_무용가,89
2,아트_페스티벌,89
2,중_극장,89
2,무용_계열,89
2,인간_자연,89
2,건강_보험료,88
2,티켓_가격,88
2,가상_현실,88
2,심의_결과,88
2,경기도_무용단,88
2,장르_구분,88
2,남성_여성,88
2,협업_즉흥,88
2,민족_문화,88
3,공연장_상주_단체,87
2,웹_사이트,87
2,상당_부분,87
2,티켓_석,87
2,재정_지원,87
2,영남_지역,87
2,연극_요소,87
2,장르_협업,87
2,오후_국립,87
2,시각_이미지,87
2,발레_스타,87
3,공연_전통_춤,87
2,한국_방문,87
2,창작_뮤지컬,87
2,서울_지역,87
2,민간_예술,87
2,국수호_춤,87
3,비평가_상_베스트,86
3,협회_한국_본부,86
3,영남_춤_축제,86
2,관객_평가단,86
2,프랑스_파리,86
2,감정_선,86
2,심사_결과,86
